timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740159367105,293,Create User,201,Created,Thread Group 1-5,text,true,,1146,223,6,6,https://reqres.in/api/users,284,0,103
1740159366602,796,Create User,201,Created,Thread Group 1-3,text,true,,1146,223,6,6,https://reqres.in/api/users,794,0,596
1740159366352,1046,Create User,201,Created,Thread Group 1-2,text,true,,1146,223,6,6,https://reqres.in/api/users,1018,0,846
1740159366273,1126,Create User,201,Created,Thread Group 1-1,text,true,,1145,223,6,6,https://reqres.in/api/users,1126,0,924
1740159366850,548,Create User,201,Created,Thread Group 1-4,text,true,,1145,223,6,6,https://reqres.in/api/users,521,0,348
1740159367348,274,Create User,201,Created,Thread Group 1-6,text,true,,1146,223,2,2,https://reqres.in/api/users,274,0,101
1740159367597,270,Create User,201,Created,Thread Group 1-7,text,true,,1146,223,2,2,https://reqres.in/api/users,270,0,102
1740159367846,268,Create User,201,Created,Thread Group 1-8,text,true,,1146,223,2,2,https://reqres.in/api/users,268,0,98
1740159368099,278,Create User,201,Created,Thread Group 1-9,text,true,,1146,223,2,2,https://reqres.in/api/users,277,0,99
1740159368346,276,Create User,201,Created,Thread Group 1-10,text,true,,1145,223,2,2,https://reqres.in/api/users,276,0,98
1740159368596,269,Create User,201,Created,Thread Group 1-11,text,true,,1146,223,2,2,https://reqres.in/api/users,268,0,101
1740159368848,269,Create User,201,Created,Thread Group 1-12,text,true,,1153,223,2,2,https://reqres.in/api/users,269,0,98
1740159369112,267,Create User,201,Created,Thread Group 1-13,text,true,,1154,223,2,2,https://reqres.in/api/users,267,0,97
1740159369346,264,Create User,201,Created,Thread Group 1-14,text,true,,1154,223,2,2,https://reqres.in/api/users,264,0,95
1740159369597,262,Create User,201,Created,Thread Group 1-15,text,true,,1154,223,2,2,https://reqres.in/api/users,262,0,100
1740159369849,264,Create User,201,Created,Thread Group 1-16,text,true,,1146,223,2,2,https://reqres.in/api/users,264,0,96
1740159370097,294,Create User,201,Created,Thread Group 1-17,text,true,,1145,223,2,2,https://reqres.in/api/users,294,0,119
1740159370360,259,Create User,201,Created,Thread Group 1-18,text,true,,1146,223,2,2,https://reqres.in/api/users,259,0,93
1740159370605,252,Create User,201,Created,Thread Group 1-19,text,true,,1146,223,2,2,https://reqres.in/api/users,252,0,98
1740159370847,256,Create User,201,Created,Thread Group 1-20,text,true,,1141,223,1,1,https://reqres.in/api/users,256,0,94
1740656687171,824,JDBC Request,200,OK,Thread Group 1-1,text,true,,119,0,1,1,null,815,0,809
1740656688032,5,Debug Sampler,200,OK,Thread Group 1-1,text,true,,563,0,1,1,null,0,0,0
1740656689027,465,GET,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,1463,122,1,1,null,0,672,338
1740656689425,407,HTTP Request,200,OK,Thread Group 1-1,text,true,,1463,122,1,1,https://reqres.in/api/users/1,400,0,338
1740656690105,58,JSR223 Sampler,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1740656690172,219,DELETE,204,No Content,Thread Group 1-1,,true,,1017,208,1,1,https://reqres.in/api/users/2,0,0,0
1740656690393,50,GET,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,1453,122,1,1,null,0,17,0
1740656690394,49,HTTP Request,200,OK,Thread Group 1-1,text,true,,1453,122,1,1,https://reqres.in/api/users/3,48,0,0
1740656690459,1,JSR223 Sampler,200,OK,Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
